title,author,length
The Homeboy Way,"Thomas Vozzo,Gregory Boyle - foreword",Length: 8 hrs and 9 mins
Lessons in Chemistry,Bonnie Garmus,Length: 11 hrs and 55 mins
22 Seconds,"James Patterson,Maxine Paetro",Length: 8 hrs and 16 mins
Promises and Pomegranates,Sav R. Miller,Length: 10 hrs and 22 mins
The Plan,Karla Sorensen,Length: 8 hrs and 56 mins
Sickening,John Abramson,Length: 9 hrs and 17 mins
When the Nightingale Sings,Suzanne Kelman,Length: 12 hrs and 43 mins
Cold Case,"Matthew Costello,Neil Richards",Length: 3 hrs and 31 mins
Uncompromised Life,Marisa Peer,Length: 20 hrs and 2 mins
French Braid,Anne Tyler,Length: 9 hrs and 4 mins
The Gap and the Gain,"Dan Sullivan,Dr. Benjamin Hardy",Length: 5 hrs and 58 mins
No Bad Parts,"Richard C. Schwartz PhD,Alanis Morissette - foreword introduction",Length: 8 hrs and 10 mins
Beauty and the Baller,Ilsa Madden-Mills,Length: 10 hrs and 10 mins
Bone Deep,"Charles Bosworth,Joel Schwartz",Length: 11 hrs and 20 mins
The Shop on Royal Street,Karen White,Length: 14 hrs and 8 mins
The Hallowed War,T.E. Bakutis,Length: 14 hrs and 28 mins
The Slob,Aron Beauregard,Length: 3 hrs and 27 mins
A Court of Thorns and Roses (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 6 hrs and 4 mins
The Heart of Us,Kennedy Fox,Length: 6 hrs and 26 mins
The Club,Ellery Lloyd,Length: 9 hrs and 22 mins
Traitor General,Dan Abnett,Length: 11 hrs and 5 mins
Puck Shy,Teagan Hunter,Length: 6 hrs and 20 mins
The End of the World Is Just the Beginning,Peter Zeihan,Length: 14 hrs and 45 mins
"Run, Rose, Run","James Patterson,Dolly Parton",Length: 10 hrs and 19 mins
When Titans Clashed,"David M. Glantz,Jonathan M. House",Length: 17 hrs and 49 mins
Prince Lander and the Dragon War,S. D. Smith,Length: 5 hrs and 50 mins
One Simple Refrain,Nancy Ann Healy,Length: 10 hrs and 22 mins
Cleopatra and Frankenstein,Coco Mellors,Length: 14 hrs and 31 mins
Violeta,"Isabel Allende,Frances Riddle",Length: 11 hrs and 59 mins
"Sis, Don't Settle",Faith Jenkins,Length: 8 hrs and 20 mins
Uncommon Measure,Natalie Hodges,Length: 4 hrs and 49 mins
The Diamond Eye,Kate Quinn,Length: 12 hrs and 51 mins
Driving Force,"Lynette Eason,Kate Angelo",Length: 10 hrs and 37 mins
"Spies, Lies, and Algorithms",Amy B. Zegart,Length: 11 hrs and 54 mins
The King's Falcon,Stella Riley,Length: 19 hrs and 38 mins
Honor,Thrity Umrigar,Length: 11 hrs and 19 mins
The Stone Giant,Luke Smitherd,Length: 14 hrs and 54 mins
Not All Diamonds and Rosé,Dave Quinn,Length: 20 hrs and 30 mins
El Libro Negro de las Horas,Eva García Sáenz de Urturi,Length: 9 hrs and 28 mins
The Hunger of the Gods,John Gwynne,Length: 22 hrs and 58 mins
Sea Storm,Andrew Mayne,Length: 8 hrs and 3 mins
The Vision of the Anointed,Thomas Sowell,Length: 11 hrs and 26 mins
Ocean State,Stewart O'Nan,Length: 5 hrs and 45 mins
Empire,Joshua Dalzelle,Length: 10 hrs and 33 mins
Committed,Evangeline Anderson,Length: 11 hrs and 29 mins
Lost and Found,Helena Marchmont,Length: 3 hrs and 27 mins
Paradise Lagoon,"Caroline Peckham,Susanne Valenti",Length: 20 hrs and 49 mins
La historia que te cuentas [The Story You Tell Yourself],Paola Herrera,Length: 6 hrs and 49 mins
Legends and Lattes,Travis Baldree,Length: 6 hrs and 21 mins
Pachinko,Min Jin Lee,Length: 18 hrs and 16 mins
Domestic Animals,Gregory Ashe,Length: 12 hrs and 57 mins
Dark Angel,"Brian Andrews,Jeffrey Wilson",Length: 11 hrs and 10 mins
Good Money Revolution,Derrick Kinney,Length: 6 hrs and 28 mins
Value-Based Fees (3rd Edition),Alan Weiss,Length: 7 hrs and 29 mins
Sanguine Academy: Volume 1,Lowe Keye,Length: 10 hrs and 39 mins
The Stepchild,Nicole Trope,Length: 7 hrs and 42 mins
The General of Izril,pirateaba,Length: 34 hrs and 1 min
What Happened to the Bennetts,Lisa Scottoline,Length: 10 hrs and 15 mins
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Length: 5 hrs and 51 mins
Braiding Sweetgrass,Robin Wall Kimmerer,Length: 16 hrs and 44 mins
The Five Dysfunctions of a Team,Patrick Lencioni,Length: 3 hrs and 42 mins
Undistracted,Bob Goff,Length: 6 hrs and 1 min
The Power of Regret,Daniel H. Pink,Length: 5 hrs and 29 mins
Taken by the Horde King,Zoey Draven,Length: 14 hrs and 46 mins
To Bleed a Crystal Bloom,Sarah A. Parker,Length: 12 hrs and 47 mins
The Blade's Own Truth,"Zachary Dugas,Daniel Jones",Length: 13 hrs and 49 mins
Demon on the Down-Low,E.J. Russell,Length: 8 hrs and 43 mins
Take Me Home,Jerry Boyd,Length: 9 hrs and 16 mins
Empire Ascendant,Jez Cajiao,Length: 45 hrs
Make Me Your Villain,Lani Lynn Vale,Length: 5 hrs and 38 mins
Emotional Self Care for Black Women,B. True,Length: 3 hrs and 48 mins
The Cartographers,Peng Shepherd,Length: 14 hrs and 15 mins
Illogical,Emmanuel Acho,Length: 4 hrs and 25 mins
Who Do I Think I Am?,Anjelah Johnson-Reyes,Length: 8 hrs and 44 mins
Broken Reign,Ava Harrison,Length: 9 hrs and 52 mins
Chosen for Power,Lindsay Buroker,Length: 19 hrs and 11 mins
The Violin Conspiracy,Brendan Slocumb,Length: 12 hrs and 4 mins
The 15 Invaluable Laws of Growth,John C. Maxwell,Length: 7 hrs and 52 mins
The Roofing Machine,Martin Pettigrew,Length: 2 hrs and 45 mins
Life Makeover,Dominique Sachse,Length: 5 hrs and 35 mins
Best I Ever Had,S.L. Scott,Length: 12 hrs and 8 mins
How Do I Un-Remember This?,Danny Pellegrino,Length: 6 hrs and 15 mins
The Baby Shower,S.E. Lynes,Length: 10 hrs and 33 mins
Coup in Dallas,"H.P. Albarelli Jr.,Dick Russell - foreword introduction",Length: 25 hrs and 58 mins
The Great Reset,"Glenn Beck,Justin Trask Haskins",Length: 9 hrs and 57 mins
Unidentified,Douglas E. Richards,Length: 13 hrs and 17 mins
Villain Core,John Stovall,Length: 8 hrs and 55 mins
Anvil Dark,"J.N. Chaney,Terry Maggert",Length: 9 hrs and 39 mins
Be a Triangle,Lilly Singh,Length: 1 hr and 10 mins
The Match,Harlan Coben,Length: 10 hrs and 4 mins
Some Things I Still Can't Tell You,Misha Collins,Length: 57 mins
"Hook, Line, and Sinker",Tessa Bailey,Length: 10 hrs and 10 mins
Battlefield of the Mind,Joyce Meyer,Length: 6 hrs and 37 mins
Danger on the Atlantic,Erica Ruth Neubauer,Length: 7 hrs and 49 mins
The Perfect Run 3,"Maxime J. Durand,Void Herald",Length: 18 hrs and 14 mins
Good to Great,Jim Collins,Length: 10 hrs and 1 min
Slow Horses,Mick Herron,Length: 10 hrs and 46 mins
Pangea Online: The Complete Trilogy,S.L. Rowland,Length: 23 hrs and 1 min
One Italian Summer,Rebecca Serle,Length: 6 hrs and 21 mins
The Book of Cold Cases,Simone St. James,Length: 10 hrs and 44 mins
Red Bounty,"J.N. Chaney,Terry Maggert",Length: 9 hrs and 3 mins
