title,author,length
Age of Ash,Daniel Abraham,Length: 14 hrs and 35 mins
The Far Land,Brandon Presser,Length: 11 hrs and 8 mins
The Misfit Soldier,Michael Mammay,Length: 8 hrs and 29 mins
All Rhodes Lead Here,Mariana Zapata,Length: 16 hrs and 29 mins
You're Not Dying You're Just Waking Up,Elizabeth April,Length: 7 hrs and 23 mins
Defy the Odds,"Benny Tate,Brittany McKneely,Jentezen Franklin - foreword",Length: 6 hrs and 15 mins
Magpie Murders,Anthony Horowitz,Length: 15 hrs and 48 mins
The Success Principles(TM) - 10th Anniversary Edition,"Jack Canfield,Janet Switzer",Length: 21 hrs and 46 mins
Forever Boy,Kate Swenson,Length: 9 hrs and 26 mins
Heartbreak,Florence Williams,Length: 10 hrs and 37 mins
The Verifiers,Jane Pek,Length: 11 hrs and 46 mins
What It Took to Win,Michael Kazin,Length: 13 hrs and 41 mins
Profit First,Mike Michalowicz,Length: 8 hrs and 35 mins
The Old Woman with the Knife,"Gu Byeong-mo,Chi-Young Kim - translator",Length: 6 hrs and 29 mins
"Happy Mind, Happy Life",Dr Rangan Chatterjee,Length: 5 hrs and 44 mins
Split the Pie,Barry Nalebuff,Length: 8 hrs and 42 mins
"Move the Body, Heal the Mind",Jennifer Heisz,Length: 6 hrs and 18 mins
Blood in the Garden,Chris Herring,Length: 11 hrs and 3 mins
Race After Technology,Ruha Benjamin,Length: 6 hrs and 38 mins
Mastering Community,Christine Porath,Length: 10 hrs and 48 mins
Black Market,Merl Code,Length: 8 hrs and 10 mins
Abandoned in Death,J. D. Robb,Length: 13 hrs and 16 mins
The Beginning of Infinity,David Deutsch,Length: 20 hrs
Declared,"Sam Burns,W.M. Fawkes",Length: 5 hrs and 41 mins
Owning the Sun,Alexander Zaitchik,Length: 9 hrs and 15 mins
The Girl Who Fell Beneath the Sea,Axie Oh,Length: 8 hrs and 50 mins
"The DevOps Handbook, Second Edition","Gene Kim,Jez Humble,Patrick Debois,John Willis,Nicole Forsgren",Length: 15 hrs and 51 mins
Swan Song,Robert R. McCammon,Length: 34 hrs and 19 mins
Shady Hollow,Juneau Black,Length: 6 hrs and 16 mins
Soft Skills,John Sonmez,Length: 12 hrs and 3 mins
The Amendment,Kiersten Modglin,Length: 5 hrs and 37 mins
The Easy Way to Stop Smoking,Allen Carr,Length: 5 hrs and 59 mins
Charlie and the Chocolate Factory,Roald Dahl,Length: 3 hrs and 18 mins
On the Road,Jack Kerouac,Length: 11 hrs and 8 mins
Debt - Updated and Expanded,David Graeber,Length: 17 hrs and 48 mins
"Many Lives, Many Masters",Brian L. Weiss M.D.,Length: 1 hr and 28 mins
The Simulated Multiverse,Rizwan Virk,Length: 10 hrs and 48 mins
The Hag,Marc Eliot,Length: 17 hrs and 50 mins
The Awesome Human Project,Nataly Kogan,Length: 8 hrs and 6 mins
Orphan Train,Christina Baker Kline,Length: 8 hrs and 21 mins
Summerhaven,Tiffany Odekirk,Length: 9 hrs and 44 mins
Grave Misconduct,Eva Chase,Length: 6 hrs and 27 mins
The Big Leap,Gay Hendricks,Length: 5 hrs and 27 mins
The Prince,Niccolo Machiavelli,Length: 4 hrs and 47 mins
The Gates of Europe,Serhii Plokhy,Length: 15 hrs and 20 mins
Napoleon,Andrew Roberts,Length: 32 hrs and 56 mins
Interior Freedom,Jacques Philippe,Length: 3 hrs and 17 mins
Riding with Evil,"Ken Croke,Dave Wedge",Length: 9 hrs and 43 mins
The Left Hand of Darkness,Ursula K. Le Guin,Length: 9 hrs and 39 mins
What I Know for Sure,Oprah Winfrey,Length: 3 hrs and 53 mins
Oryx and Crake,Margaret Atwood,Length: 10 hrs and 30 mins
Call Me by Your Name,André Aciman,Length: 7 hrs and 48 mins
Ronnie and Clyde,Jade Jones,Length: 4 hrs and 49 mins
The Wonderful Wizard of Oz,L. Frank Baum,Length: 3 hrs and 49 mins
Arbiter,"Alexey Osadchuk,Andrew Douglas Schmitt - translator",Length: 9 hrs and 10 mins
The Storyteller,Dave Grohl,Length: 10 hrs and 35 mins
Court,Tracy Wolff,Length: 24 hrs and 22 mins
The Kiss of Death,Auryn Hadley,Length: 16 hrs and 26 mins
Angela Davis,Angela Davis,Length: 19 hrs and 28 mins
The NFT Handbook,"Matt Fortnow,QuHarrison Terry",Length: 7 hrs and 2 mins
Daughter of Ninmah,Lori Holmes,Length: 15 hrs and 13 mins
Dark Signal,Shannon Baker,Length: 9 hrs and 26 mins
Kingdoms of Death,Christopher Ruocchio,Length: 22 hrs and 50 mins
The Kiss List,Maya Hughes,Length: 10 hrs and 56 mins
The City of Ember,Jeanne DuPrau,Length: 6 hrs and 50 mins
Pine Cove: The Complete Series,HJ Welch,Length: 59 hrs and 26 mins
Bringing Up Bébé,Pamela Druckerman,Length: 9 hrs and 8 mins
The Book of Joy,"His Holiness the Dalai Lama,Desmond Tutu,Douglas Carlton Abrams",Length: 10 hrs and 12 mins
The Warmth of Other Suns,Isabel Wilkerson,Length: 22 hrs and 40 mins
Slaughterhouse-Five,Kurt Vonnegut,Length: 5 hrs and 13 mins
Fingerprints of the Gods,Graham Hancock,Length: 18 hrs and 31 mins
The Happiness Advantage,Shawn Achor,Length: 7 hrs and 19 mins
Night,Elie Wiesel,Length: 4 hrs and 17 mins
The Old Man and the Sea,Ernest Hemingway,Length: 2 hrs and 28 mins
Gone Girl,Gillian Flynn,Length: 19 hrs and 11 mins
Band of Brothers,Stephen E. Ambrose,Length: 12 hrs and 37 mins
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,Length: 12 hrs and 46 mins
American Sniper,"Chris Kyle,Scott McEwan,Jim DeFelice",Length: 10 hrs and 18 mins
Leonardo da Vinci,Walter Isaacson,Length: 17 hrs and 1 min
The Da Vinci Code,Dan Brown,Length: 16 hrs and 59 mins
Emotional Agility,Susan David,Length: 9 hrs and 21 mins
Red Famine,Anne Applebaum,Length: 17 hrs and 46 mins
A Wizard of Earthsea,Ursula K. Le Guin,Length: 7 hrs and 17 mins
Based on a True Story,Norm Macdonald,Length: 7 hrs and 18 mins
Fervent,Priscilla Shirer,Length: 4 hrs and 25 mins
1Q84,"Haruki Murakami,Jay Rubin - translator,Philip Gabriel - translator",Length: 46 hrs and 45 mins
Originals,"Adam Grant,Sheryl Sandberg - foreword",Length: 10 hrs and 1 min
"Again, Rachel",Marian Keyes,Length: 17 hrs and 30 mins
Don't Cry for Me,Daniel Black,Length: 7 hrs and 28 mins
And Then There Were None,Agatha Christie,Length: 6 hrs and 1 min
A Catalogue of Catastrophe,Jodi Taylor,Length: 13 hrs and 24 mins
Amongst Our Weapons,Ben Aaronovitch,Length: 10 hrs and 35 mins
Sandy Hook,Elizabeth Williamson,Length: 16 hrs and 12 mins
The Big Short,Michael Lewis,Length: 9 hrs and 27 mins
The Woman in Cabin 10,Ruth Ware,Length: 11 hrs and 16 mins
"Eat, Pray, Love",Elizabeth Gilbert,Length: 12 hrs and 49 mins
Waking the Tiger,"Peter A. Levine,Ann Frederick",Length: 8 hrs and 51 mins
The Invention of Wings,Sue Monk Kidd,Length: 13 hrs and 42 mins
Stealing Fire,"Steven Kotler,Jamie Wheal",Length: 8 hrs and 24 mins
Expeditionary Force,Dean Henegar,Length: 13 hrs and 12 mins
Wedge's Gamble,Michael A. Stackpole,Length: 13 hrs and 1 min
The Shifter's Hoard,Dante King,Length: 8 hrs and 49 mins
The Last King of America,Andrew Roberts,Length: 36 hrs and 2 mins
Engines of Empire,R. S. Ford,Length: 22 hrs and 3 mins
Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,Fehu Kazuno,Length: 6 hrs and 35 mins
Home Fire,Kamila Shamsie,Length: 7 hrs and 54 mins
The Breadwinner,Deborah Ellis,Length: 3 hrs
Fortune's Formula,William Poundstone,Length: 10 hrs and 2 mins
The Boy on the Wooden Box,"Leon Leyson,Marilyn J. Harran - contributor",Length: 4 hrs and 14 mins
Eldest,Christopher Paolini,Length: 23 hrs and 30 mins
The Black Prism,Brent Weeks,Length: 21 hrs and 26 mins
The Future of Money,Eswar S. Prasad,Length: 19 hrs and 46 mins
How to Read a Book,"Mortimer J. Adler,Charles Van Doren",Length: 15 hrs and 26 mins
Loving Yourself Properly,Sylvester McNutt III,Length: 7 hrs and 45 mins
The Bell Jar,Sylvia Plath,Length: 7 hrs and 24 mins
The Vatican Secret,David Leadbeater,Length: 13 hrs and 1 min
Tao Te Ching,"Stephen Mitchell,Lao Tzu",Length: 1 hr and 41 mins
Love Does,Bob Goff,Length: 5 hrs and 35 mins
Behind Her Eyes,Sarah Pinborough,Length: 11 hrs and 29 mins
Uncharted,S. D. Perry,Length: 8 hrs and 24 mins
Moon Touched,Elizabeth Briggs,Length: 8 hrs and 17 mins
Maybe You Never Cry Again,Bernie Mac,Length: 4 hrs and 25 mins
Mother and Son,Dr. Emerson Eggerichs,Length: 8 hrs and 35 mins
Death by Meeting,Patrick Lencioni,Length: 4 hrs and 31 mins
Scrum,"Jeff Sutherland,J.J. Sutherland",Length: 6 hrs and 43 mins
"Tinker, Tailor, Soldier, Spy",John le Carré,Length: 12 hrs and 49 mins
The TB12 Method,Tom Brady,Length: 6 hrs and 55 mins
Necessary Endings,Henry Cloud,Length: 7 hrs and 15 mins
Red Mars,Kim Stanley Robinson,Length: 23 hrs and 51 mins
Out of My Mind,Sharon M. Draper,Length: 6 hrs and 49 mins
Island of the Blue Dolphins,Scott O'Dell,Length: 3 hrs and 55 mins
Watch Me Disappear,Janelle Brown,Length: 13 hrs and 15 mins
Scattered,Gabor Maté MD,Length: 10 hrs and 58 mins
Wildflower,Drew Barrymore,Length: 7 hrs and 5 mins
The Seven Decision,Andy Andrews,Length: 6 hrs and 30 mins
Into the Water,Paula Hawkins,Length: 11 hrs and 32 mins
Men Without Women,"Haruki Murakami,Philip Gabriel - translator,Ted Goossen - translator",Length: 7 hrs and 18 mins
Eat to Live,Joel Fuhrman M.D.,Length: 8 hrs and 57 mins
Eaters of the Dead,Michael Crichton,Length: 5 hrs and 18 mins
Frog and Toad Audio Collection,Arnold Lobel,Length: 1 hr and 29 mins
Stiff,Mary Roach,Length: 8 hrs
Gilead (Oprah's Book Club),Marilynne Robinson,Length: 8 hrs and 54 mins
Clearing Waves,Cody Whitfill,Length: 9 hrs and 47 mins
The House of the Spirits,Isabel Allende,Length: 18 hrs and 51 mins
Legend,Marie Lu,Length: 7 hrs and 48 mins
Changes That Heal,Henry Cloud,Length: 10 hrs and 27 mins
The Revenant,Michael Punke,Length: 9 hrs and 12 mins
Shatter Me,Tahereh Mafi,Length: 9 hrs and 12 mins
Star Wars: Shadow of the Sith,Adam Christopher,Length: 14 hrs
"Jab, Jab, Jab, Right Hook",Gary Vaynerchuk,Length: 5 hrs and 41 mins
Lords of Wrath,"Angel Lawson,Samantha Rue",Length: 14 hrs and 24 mins
Heart of the Devil,Ali Vali,Length: 10 hrs and 31 mins
The Sedona Method,Hale Dwoskin,Length: 12 hrs and 22 mins
Pillow Talk,"Craig Conover,Blake Dvorak - contributor",Length: 7 hrs and 32 mins
Taken by Storm,K.M. Neuhold,Length: 5 hrs and 20 mins
The High Mountain Court,AK Mulford,Length: 15 hrs and 44 mins
The Demon-Haunted World,Carl Sagan,Length: 17 hrs and 23 mins
Long Game,Lisa Suzanne,Length: 4 hrs and 30 mins
The Liar's Knot,M. A. Carrick,Length: 23 hrs and 13 mins
Sylvanas (World of Warcraft),Christie Golden,Length: 15 hrs and 39 mins
There’s No Free Lunch,David L. Bahnsen,Length: 4 hrs and 25 mins
Happy-Go-Lucky,David Sedaris,Length: 7 hrs and 30 mins
The Saints of Swallow Hill,Donna Everhart,Length: 12 hrs and 13 mins
Unlock Your Macro Type,Christine Hronec,Length: 6 hrs and 17 mins
The Sex Lives of African Women,Nana Darkoa Sekyiamah,Length: 10 hrs and 12 mins
The Dawn of Everything,"David Graeber,David Wengrow",Length: 24 hrs and 2 mins
"Strong Fathers, Strong Daughters",Meg Meeker,Length: 7 hrs and 4 mins
Weapons of Math Destruction,Cathy O'Neil,Length: 6 hrs and 23 mins
The Wild Robot,Peter Brown,Length: 4 hrs and 14 mins
The Ultimate Sales Machine,Chet Holmes,Length: 9 hrs and 13 mins
Trump: The Art of the Deal,"Donald J. Trump,Tony Schwartz",Length: 9 hrs and 59 mins
Lone Survivor,"Marcus Luttrell,Patrick Robinson",Length: 14 hrs and 17 mins
The Meaning of Marriage,Timothy Keller,Length: 8 hrs and 15 mins
Emotional,Leonard Mlodinow,Length: 7 hrs and 54 mins
Life 3.0,Max Tegmark,Length: 13 hrs and 29 mins
The Last Empire,Serhii Plokhy,Length: 15 hrs and 58 mins
Dead Silence,S.A. Barnes,Length: 12 hrs and 50 mins
The Dinner Guest,B P Walter,Length: 10 hrs and 6 mins
Tell Me Everything,Erika Krouse,Length: 9 hrs and 35 mins
"Simple Numbers, Straight Talk, Big Profits!",Greg Crabtree,Length: 4 hrs and 45 mins
Tom Clancy Zero Hour,Don Bentley,Length: 11 hrs and 30 mins
A Trial of Sorcerers,Elise Kova,Length: 9 hrs and 35 mins
Room,Emma Donoghue,Length: 10 hrs and 45 mins
Stop at Nothing,Macy Blake,Length: 7 hrs and 24 mins
Sugar Cookies and Sirens,Danielle Garrett,Length: 1 hr and 39 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
Greener Pastures,Aurora Rey,Length: 9 hrs
Helter Skelter,"Vincent Bugliosi,Curt Gentry",Length: 26 hrs and 29 mins
The Day the World Came to Town,Jim DeFede,Length: 6 hrs and 28 mins
American Kingpin,Nick Bilton,Length: 12 hrs and 14 mins
The Emperor of All Maladies,Siddhartha Mukherjee,Length: 22 hrs and 18 mins
The Journey of Crazy Horse,Joseph M. Marshall III,Length: 10 hrs and 56 mins
Unlikely Fighter,Greg Stier,Length: 5 hrs and 39 mins
The Jazz Age President,Ryan S. Walters,Length: 8 hrs and 50 mins
The Flames of Hope,Tui T. Sutherland,Length: 9 hrs and 12 mins
Dark Stranger: The Dream,I. T. Lucas,Length: 9 hrs and 26 mins
Last Exit,Max Gladstone,Length: 21 hrs and 3 mins
Eight Days in May,"Volker Ullrich,Jefferson Chase - translator",Length: 9 hrs and 34 mins
How to Break Up with Your Friends,Erin Falconer,Length: 5 hrs and 36 mins
Better than Happy,Jody Moore,Length: 8 hrs and 59 mins
The Original Folk and Fairy Tales of the Brothers Grimm,"Jacob Grimm,Wilhelm Grimm,Jack Zipes - translator/editor",Length: 19 hrs and 14 mins
Heart-Shaped Box,Joe Hill,Length: 11 hrs and 3 mins
Hamlet: Fully Dramatized Audio Edition,William Shakespeare,Length: 3 hrs and 32 mins
Little Women,Louisa May Alcott,Length: 19 hrs and 37 mins
I Want This to Work,Elizabeth Earnshaw LMFT CGT,Length: 9 hrs and 27 mins
The Maddest Obsession,Danielle Lori,Length: 10 hrs and 48 mins
Putting the Rabbit in the Hat,Brian Cox,Length: 11 hrs and 40 mins
Before & Laughter,Jimmy Carr,Length: 6 hrs and 45 mins
La batalla cultural [The Cultural Battle],Agustin Laje,Length: 22 hrs and 33 mins
Blood and Magick,Sarah Piper,Length: 7 hrs and 49 mins
Rogue Calamity,Kirk Mason,Length: 8 hrs and 50 mins
Geek Love,Katherine Dunn,Length: 15 hrs and 26 mins
Forrest Gump,Winston Groom,Length: 9 hrs and 9 mins
Frindle,Andrew Clements,Length: 1 hr and 40 mins
Orientalism,Edward Said,Length: 19 hrs and 2 mins
"Bless Me, Ultima",Rudolfo Anaya,Length: 11 hrs and 12 mins
Lovely Darkness,JA Huss,Length: 9 hrs and 24 mins
La revancha de los poderosos [The Revenge of Power],"Moisés Naím,María Luisa Rodríguez Tapia - translator",Length: 15 hrs and 38 mins
A Return to Love,Marianne Williamson,Length: 2 hrs and 40 mins
The Mists of Avalon,Marion Zimmer Bradley,Length: 50 hrs and 53 mins
Finish,Jon Acuff,Length: 4 hrs and 58 mins
Apocalypse Online,Robyn Wideman,Length: 14 hrs and 44 mins
Devil's Redemption,Natasha Knight,Length: 9 hrs and 32 mins
Desperation in Death,J. D. Robb,Length: 10 hrs
No Plan B,"Lee Child,Andrew Child",Length: 11 hrs
The Last Confessions of Sylvia P.,Lee Kravetz,Length: 8 hrs and 28 mins
Stretch,Scott Sonenshein,Length: 7 hrs and 58 mins
The Ghost Bride,Yangsze Choo,Length: 12 hrs and 7 mins
"When I Say No, I Feel Guilty",Manuel J. Smith,Length: 11 hrs and 58 mins
The Latinist,Mark Prins,Length: 12 hrs and 7 mins
Insurgent,Veronica Roth,Length: 11 hrs and 22 mins
Paddle Your Own Canoe,Nick Offerman,Length: 10 hrs and 50 mins
Contagious,Jonah Berger,Length: 6 hrs and 50 mins
The Ramona Quimby Audio Collection,"Beverly Cleary,Tracy Dockray",Length: 18 hrs and 56 mins
Second Chance Vow,M. Robinson,Length: 5 hrs and 54 mins
Murder at the Spring Ball,Benedict Brown,Length: 7 hrs and 49 mins
Star Cursed,Elizabeth Briggs,Length: 8 hrs and 13 mins
Anne Frank: The Diary of a Young Girl,Anne Frank,Length: 9 hrs and 55 mins
Fear and Loathing in Las Vegas,Hunter S. Thompson,Length: 6 hrs
The Girl in the Shadows,Marion Kummerow,Length: 7 hrs and 56 mins
It's Your Ship,D. Michael Abrashoff,Length: 6 hrs and 24 mins
Imagine Heaven,John Burke,Length: 10 hrs and 30 mins
M Is for Mama,Abbie Halberstadt,Length: 5 hrs and 7 mins
Kyron,Dale Mayer,Length: 6 hrs and 33 mins
The Wisdom of Insecurity,Alan Watts,Length: 3 hrs and 57 mins
Botanical Curses and Poisons,Fez Inkwright,Length: 7 hrs and 15 mins
Worth the Candle: Through Adversity,Alexander Wales,Length: 19 hrs and 26 mins
QAnon and On,Van Badham,Length: 12 hrs and 9 mins
Sabriel,Garth Nix,Length: 10 hrs and 43 mins
Narrative of the Life of Frederick Douglass,Frederick Douglass,Length: 4 hrs and 12 mins
The Blood Sugar Solution 10-Day Detox Diet,Dr. Mark Hyman MD,Length: 7 hrs and 32 mins
Five Presidents,"Clint Hill,Lisa McCubbin Hill",Length: 14 hrs and 31 mins
The Storm Before the Storm,Mike Duncan,Length: 10 hrs and 13 mins
Pale Blue Dot,Carl Sagan,Length: 13 hrs and 18 mins
Helmet for My Pillow,Robert Leckie,Length: 10 hrs and 24 mins
"Zen Mind, Beginner's Mind",Shunryu Suzuki,Length: 2 hrs and 58 mins
Beyond Possible,Nims Purja,Length: 9 hrs and 42 mins
The Little Woods,A.G. Mock,Length: 13 hrs and 51 mins
In Every Generation,Kendare Blake,Length: 12 hrs
Ain't Burned All the Bright,Jason Reynolds,Length: 37 mins
Half of a Yellow Sun,Chimamanda Ngozi Adichie,Length: 18 hrs and 10 mins
Hormone Repair Manual,Lara Briden ND,Length: 9 hrs and 47 mins
Black and White,Richard Williams,Length: 8 hrs and 26 mins
Things That Matter,Joshua Becker,Length: 6 hrs and 34 mins
1848,Mike Rapport,Length: 16 hrs and 13 mins
Poet Warrior,Joy Harjo,Length: 5 hrs and 19 mins
Balthazar,Taylor Rylan,Length: 5 hrs and 54 mins
Words That Work,Dr. Frank Luntz,Length: 6 hrs and 16 mins
Despite Chaos,Stacy Lynn Miller,Length: 9 hrs and 46 mins
Box 88,Charles Cumming,Length: 15 hrs and 52 mins
Mad About the Banker,Piper Rayne,Length: 8 hrs and 12 mins
The Devil's Chessboard,David Talbot,Length: 25 hrs and 23 mins
Nova,"Crystal Daniels,Sandy Alvarez",Length: 8 hrs and 14 mins
Dark Night in Big Rock,"William W. Johnstone,J. A. Johnstone",Length: 9 hrs and 38 mins
Blink,Malcolm Gladwell,Length: 7 hrs and 44 mins
Elon Musk,Ashlee Vance,Length: 13 hrs and 23 mins
Shogun,James Clavell,Length: 53 hrs and 33 mins
Autobiography of a Yogi,Paramahansa Yogananda,Length: 17 hrs and 50 mins
Bright Line Eating,Susan Peirce Thompson PhD,Length: 9 hrs and 7 mins
Ikigai,"Héctor García,Francesc Miralles",Length: 3 hrs and 18 mins
Kindred,Octavia E. Butler,Length: 10 hrs and 55 mins
The Forsaken King,Penelope Barsetti,Length: 10 hrs
Pride,Alex Raizman,Length: 15 hrs and 11 mins
Or Else,Joe Hart,Length: 7 hrs and 22 mins
The Color of Dragons,"R. A. Salvatore,Erika Lewis",Length: 10 hrs and 28 mins
When We Cease to Understand the World,"Benjamin Labatut,Adrian West - translator",Length: 5 hrs and 40 mins
Heaven & Spell,Lily Harper Hart,Length: 7 hrs
Tayra,Cebelius,Length: 10 hrs and 41 mins
The Six Pillars of Self-Esteem,Dr. Nathaniel Branden,Length: 3 hrs and 23 mins
Stay Off My Operating Table,Philip Ovadia,Length: 4 hrs and 53 mins
Imagine If...,"Sir Ken Robinson,Kate Robinson",Length: 2 hrs and 40 mins
The Disease to Please,Harriet Braiker,Length: 4 hrs and 20 mins
Remembering Wholeness,Carol Tuttle,Length: 9 hrs and 14 mins
Getting Past No,William Ury,Length: 2 hrs and 6 mins
An Iron Fist,Nazri Noor,Length: 7 hrs and 24 mins
"The Proven Path from Blank Page to 10,000 Copies Sold",Chandler Bolt,Length: 6 hrs and 3 mins
Under the Tuscan Sun,Frances Mayes,Length: 6 hrs and 2 mins
On Trails,Robert Moor,Length: 10 hrs and 37 mins
The Unexpected Inheritance of Inspector Chopra,Vaseem Khan,Length: 7 hrs and 12 mins
What Really Happened in Wuhan,Sharri Markson,Length: 16 hrs and 28 mins
The Bone Shard Emperor,Andrea Stewart,Length: 17 hrs and 31 mins
Crown & Sceptre,Tracy Borman,Length: 20 hrs and 16 mins
Light Is the New Black,Rebecca Campbell,Length: 5 hrs and 35 mins
The Rook,Daniel O'Malley,Length: 17 hrs and 46 mins
A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins
The Song of Achilles,Madeline Miller,Length: 11 hrs and 15 mins
The Mindbody Prescription,John E. Sarno M.D.,Length: 7 hrs and 4 mins
Pre-Suasion,Robert B. Cialdini,Length: 9 hrs and 24 mins
Uninvited,Lysa TerKeurst,Length: 5 hrs and 27 mins
Murder at Primrose Cottage,Merryn Allingham,Length: 7 hrs and 44 mins
The Whispers,Heidi Perks,Length: 9 hrs and 20 mins
The Killings at Badger’s Drift,Caroline Graham,Length: 8 hrs and 22 mins
Start with Prayer,Max Lucado,Length: 5 hrs and 22 mins
Once an Eagle,Anton Myrer,Length: 41 hrs and 20 mins
Sanctuary,Kelly Fox,Length: 6 hrs and 33 mins
Not Dead Yet,Phil Collins,Length: 12 hrs and 14 mins
Shutter Island,Dennis Lehane,Length: 9 hrs and 35 mins
Blue Highways,William Least Heat-Moon,Length: 17 hrs and 54 mins
First Life,Nathan Hystad,Length: 14 hrs and 46 mins
"Positioning, 20th Anniversary Edition","Al Ries,Jack Trout",Length: 4 hrs and 8 mins
Million Dollar Consulting (Fifth Edition),Alan Weiss,Length: 6 hrs and 21 mins
Brand New Cherry Flavor,Todd Grimson,Length: 15 hrs and 31 mins
Decolonizing Wealth (Second Edition),Edgar Villanueva,Length: 6 hrs and 27 mins
Outline,Rachel Cusk,Length: 7 hrs and 17 mins
The Worst Hard Time,Timothy Egan,Length: 12 hrs and 57 mins
Woman Last Seen,Adele Parks,Length: 11 hrs and 37 mins
Stop Fixing Yourself,Anthony De Mello,Length: 2 hrs and 56 mins
Liar's Poker,Michael Lewis,Length: 10 hrs and 16 mins
Roaring Liberty,Jean Grainger,Length: 8 hrs and 31 mins
Romeo and Juliet: The Fully Dramatized Audio Edition,William Shakespeare,Length: 2 hrs and 56 mins
Bastion,Phil Tucker,Length: 38 hrs and 23 mins
Emotional Inheritance,Galit Atlas,Length: 9 hrs and 3 mins
Have It All,Kris Krohn,Length: 7 hrs and 4 mins
Neglected,Cathy Glass,Length: 7 hrs and 53 mins
Blinded by the Night,Brett Battles,Length: 10 hrs and 47 mins
The EOS Life,Gino Wickman,Length: 5 hrs and 16 mins
The Demon’s Pet,Domino Savage,Length: 15 hrs and 28 mins
The Man from the Future,Ananyo Bhattacharya,Length: 11 hrs and 56 mins
The Economic Weapon,Nicholas Mulder,Length: 12 hrs and 25 mins
Run Rose Run,"Dolly Parton,James Patterson",Length: 10 hrs and 17 mins
Abundance,Deepak Chopra,Length: 7 hrs and 59 mins
Oath of Loyalty,"Vince Flynn,Kyle Mills",Length: 8 hrs and 30 mins
The Moral Case for Fossil Fuels,Alex Epstein,Length: 6 hrs and 11 mins
The Shining Girls,Lauren Beukes,Length: 10 hrs and 33 mins
Encounter,Shawn Bolz,Length: 5 hrs and 44 mins
These Hollow Vows,Lexi Ryan,Length: 13 hrs and 8 mins
Four Thousand Weeks,Oliver Burkeman,Length: 5 hrs and 54 mins
Taming Your Gremlin,Rick Carson,Length: 6 hrs and 2 mins
Every Day,David Levithan,Length: 8 hrs and 25 mins
The Start-Up of You,"Reid Hoffman,Ben Casnocha",Length: 6 hrs and 41 mins
The Vegetarian,Han Kang,Length: 5 hrs and 13 mins
Joy on Demand,Chade-Meng Tan,Length: 7 hrs and 7 mins
The Marshmallow Test,Walter Mischel,Length: 7 hrs and 54 mins
The Painted Bird,Jerzy Kosinski,Length: 10 hrs and 12 mins
The League of Gentlewomen Witches,India Holton,Length: 10 hrs and 31 mins
The Lying Club,Annie Ward,Length: 10 hrs and 38 mins
The Rooted Life,Justin Rhodes,Length: 5 hrs and 2 mins
"Calling in ""The One"" (Revised and Expanded)",Katherine Woodward Thomas,Length: 16 hrs and 5 mins
All That’s Left in the World,Erik J. Brown,Length: 10 hrs and 6 mins
Sounds Wild and Broken,David George Haskell,Length: 15 hrs and 34 mins
The City of Dusk,Tara Sim,Length: 24 hrs and 51 mins
La guía de los padres empáticos para criar a un niño ansioso [The Empathic Parent's Guide to Raising an Anxious Child],Freeda Meighan,Length: 1 hr and 36 mins
Inclusion Revolution,Daisy Auger-Domínguez,Length: 11 hrs and 9 mins
Follow the River,James Alexander Thom,Length: 16 hrs and 10 mins
Papillon,Henri Charrière,Length: 18 hrs and 19 mins
Dark Hunter’s Boon,I. T. Lucas,Length: 8 hrs and 24 mins
Ashes of Prospero,Gav Thorpe,Length: 9 hrs and 23 mins
GUTS,"Brian ""Iron Ed"" Hiner",Length: 6 hrs and 3 mins
The Least of Us,Sam Quinones,Length: 12 hrs and 49 mins
Fierce Love,Susan Scott,Length: 7 hrs and 45 mins
Flipped,Greg Bluestein,Length: 12 hrs and 37 mins
Angels of the Pacific,Elise Hooper,Length: 10 hrs and 56 mins
The Connected Child,"Karyn B. Purvis,David R. Cross,Wendy Lyons Sunshine",Length: 6 hrs and 49 mins
The Motorcycle Diaries,"Ernesto Che Guevara,Aleida Guevara - foreword",Length: 5 hrs and 28 mins
Six-Minute X-Ray,Chase Hughes,Length: 6 hrs and 13 mins
Fury,E. L. Todd,Length: 13 hrs and 11 mins
Capital Murder,Dan Willis,Length: 10 hrs and 35 mins
Mama Bear Apologetics Guide to Sexuality,"Hillary Morgan Ferrer,Amy Davison - contributor",Length: 9 hrs and 44 mins
The Difference Between Somehow and Someway,Aly Martinez,Length: 6 hrs and 14 mins
The Lawyer,Marni Mann,Length: 7 hrs and 46 mins
Her Hidden Genius,Marie Benedict,Length: 8 hrs and 45 mins
Fortitude,Dean M. Cole,Length: 11 hrs and 7 mins
Cold Sassy Tree,Olive Ann Burns,Length: 13 hrs and 6 mins
The Island at the Center of the World,Russell Shorto,Length: 14 hrs and 33 mins
Zanamus,B B Orange-Block,Length: 14 hrs and 13 mins
Fuccboi,Sean Thor Conroe,Length: 7 hrs and 25 mins
The Electricity of Every Living Thing,Katherine May,Length: 8 hrs and 34 mins
Refugee,Alan Gratz,Length: 7 hrs and 37 mins
The Confidence Game,Maria Konnikova,Length: 12 hrs and 29 mins
